observationcode,obs_value,observationstatus,data_source
596,91.5,Adjusted,"MICS 2019"
597,89.7,Adjusted,"MICS 2019"
598,90.6,Adjusted,"MICS 2019"
599,38.3,Adjusted,"DHS 2015"
600,47.8,Adjusted,"DHS 2015"
601,27.9,Adjusted,"DHS 2015"
602,84.8,Adjusted,"MICS 2012-13"
603,83.2,Adjusted,"MICS 2012-13"
604,81.7,Adjusted,"MICS 2012-13"
605,32.2,Adjusted,"DHS 2015-16"
606,31.4,Adjusted,"DHS 2015-16"
607,30.8,Adjusted,"DHS 2015-16"
608,77.1,Adjusted,"MICS 2011-12"
609,76,Adjusted,"MICS 2011-12"
610,75.1,Adjusted,"MICS 2011-12"
611,94.2,Adjusted,"DHS 2015-16"
612,93.2,Adjusted,"DHS 2015-16"
613,95,Adjusted,"DHS 2015-16"
614,51.2,Adjusted,"MICS 2019"
615,57.8,Adjusted,"MICS 2019"
616,64.6,Adjusted,"MICS 2019"
617,89,Adjusted,"MICS 2012"
