observablecode,countrycode,indicatorcode,observationcode,timecode
2501,91,22,2329,15
2502,91,24,2330,15
2503,91,23,2331,15
2504,92,24,2332,16
2505,92,23,2333,16
2506,92,22,2334,16
2507,93,22,2335,10
2508,93,23,2336,10
2509,93,24,2337,10
2510,116,24,2338,17
2511,116,22,2339,17
2512,116,23,2340,17
2513,94,23,2341,3
2514,94,22,2342,3
2515,94,24,2343,3
2516,95,22,2344,15
2517,95,23,2345,15
2518,95,24,2346,15
2519,96,23,1204,6
2520,96,22,1459,6
2521,96,24,2347,6
2522,97,23,2348,3
2523,97,24,2349,3
2524,97,22,2350,3
2525,98,23,2351,2
2526,98,24,2352,2
2527,98,22,2353,2
2528,99,23,2354,12
2529,99,22,2355,12
2530,99,24,2356,12
2531,100,23,2357,17
2532,100,22,2358,17
2533,100,24,2359,17
2534,101,22,2360,16
2535,101,23,2361,16
2536,101,24,2362,16
2537,102,24,2363,5
2538,102,23,2364,5
2539,102,22,2365,5
2540,1,25,2366,1
2541,1,26,2367,1
2542,1,27,2368,1
2543,118,26,2369,8
2544,118,25,2370,8
2545,118,27,2371,8
2546,2,26,2372,2
2547,2,25,2373,2
2548,2,27,2374,2
2549,3,27,2375,3
2550,3,25,2376,3
2551,3,26,2377,3
2552,4,26,2378,4
2553,4,27,2379,4
2554,4,25,2380,4
2555,5,25,2381,3
2556,5,27,2382,3
2557,5,26,2383,3
2558,6,27,2384,5
2559,6,25,2385,5
2560,6,26,2386,5
2561,7,27,1804,6
2562,7,26,2387,6
2563,7,25,2388,6
2564,8,25,2387,6
2565,8,26,2389,6
2566,8,27,2059,6
2567,9,27,2390,3
2568,9,26,2391,3
2569,9,25,2392,3
2570,10,27,2393,8
2571,10,25,2394,8
2572,10,26,2395,8
2573,11,26,2396,9
2574,11,27,2397,9
2575,11,25,2398,9
2576,12,27,2399,4
2577,12,26,2400,4
2578,12,25,2401,4
2579,104,25,2402,14
2580,104,27,2403,14
2581,104,26,2404,14
2582,13,27,2405,10
2583,13,25,2406,10
2584,13,26,2407,10
2585,14,25,2408,9
2586,14,26,2409,9
2587,14,27,2410,9
2588,15,26,2411,11
2589,15,27,2412,11
2590,15,25,2413,11
2591,16,27,2414,12
2592,16,26,2415,12
2593,16,25,2416,12
2594,17,25,2417,12
2595,17,26,2418,12
2596,17,27,2419,12
2597,18,25,2420,9
2598,18,27,2421,9
2599,18,26,2422,9
2600,19,26,2423,13
2601,19,27,2424,13
2602,19,25,2425,13
2603,20,27,2426,14
2604,20,26,2427,14
2605,20,25,2426,14
2606,105,27,2428,1
2607,105,25,2429,1
2608,105,26,2430,1
2609,21,25,2431,1
2610,21,27,2432,1
2611,21,26,2433,1
2612,22,26,2434,6
2613,22,27,2435,6
2614,22,25,2436,6
2615,23,26,2437,13
2616,23,25,2438,13
2617,23,27,2439,13
2618,24,27,2440,7
2619,24,26,2441,7
2620,24,25,2442,7
2621,26,25,2443,15
2622,26,26,2444,15
2623,26,27,2445,15
2624,27,26,2446,14
2625,27,27,2447,14
2626,27,25,2448,14
2627,28,26,2449,16
2628,28,27,2044,16
2629,28,25,2450,16
2630,29,25,2451,12
2631,29,27,2452,12
2632,29,26,2453,12
2633,30,26,2454,5
2634,30,27,2455,5
2635,30,25,2456,5
2636,31,25,2457,12
2637,31,27,2458,12
2638,31,26,2459,12
2639,32,25,2460,12
2640,32,26,1577,12
2641,32,27,2461,12
2642,33,25,2462,12
2643,33,27,2463,12
2644,33,26,1833,12
2645,34,26,2464,15
2646,34,25,2465,15
2647,34,27,2466,15
2648,35,27,2467,6
2649,35,25,2468,6
2650,35,26,2469,6
2651,36,27,2470,10
2652,36,25,2471,10
2653,36,26,2472,10
2654,37,26,2473,10
2655,37,27,2474,10
2656,37,25,2475,10
2657,38,26,2476,12
2658,38,25,1227,12
2659,38,27,2477,12
2660,39,25,2478,13
2661,39,26,2479,13
2662,39,27,2480,13
2663,40,25,2481,15
2664,40,26,2482,15
2665,40,27,2483,15
2666,41,26,2484,12
2667,41,25,2485,12
2668,41,27,2486,12
2669,42,27,2487,12
2670,42,25,2488,12
2671,42,26,2489,12
2672,43,26,2490,11
2673,43,27,2491,11
2674,43,25,2492,11
2675,44,26,2493,12
2676,44,27,2494,12
2677,44,25,2495,12
2678,45,25,2496,3
2679,45,26,2497,3
2680,45,27,2375,3
2681,46,27,2498,10
2682,46,26,2499,10
2683,46,25,2500,10
2684,47,25,1753,10
2685,47,26,2501,10
2686,47,27,2502,10
2687,48,25,2503,7
2688,48,27,2504,7
2689,48,26,2505,7
2690,49,26,2506,8
2691,49,27,2507,8
2692,49,25,2508,8
2693,50,25,2509,1
2694,50,27,2510,1
2695,50,26,2511,1
2696,51,25,1873,12
2697,51,26,2512,12
2698,51,27,2513,12
2699,52,26,2514,10
2700,52,25,2515,10
2701,52,27,2516,10
2702,53,26,2517,14
2703,53,25,2518,14
2704,53,27,2519,14
2705,54,26,2520,10
2706,54,25,1941,10
2707,54,27,2521,10
2708,55,26,2522,17
2709,55,25,2523,17
2710,55,27,2524,17
2711,56,27,2525,10
2712,56,25,2526,10
2713,56,26,2527,10
2714,57,26,2528,3
2715,57,27,2529,3
2716,57,25,2530,3
2717,58,25,2531,11
2718,58,27,2532,11
2719,58,26,2533,11
2720,59,26,2534,1
2721,59,27,2535,1
2722,59,25,2536,1
2723,60,27,2537,1
2724,60,26,2538,1
2725,60,25,2539,1
2726,61,25,2540,10
2727,61,26,2541,10
2728,61,27,2542,10
2729,62,25,2543,10
2730,62,26,2544,10
2731,62,27,2545,10
2732,63,26,2546,17
2733,63,25,2546,17
2734,63,27,2546,17
2735,64,26,2547,7
2736,64,25,2548,7
2737,64,27,2549,7
2738,65,25,2550,3
2739,65,27,2551,3
2740,65,26,2552,3
2741,66,27,2553,17
2742,66,26,2554,17
2743,66,25,2555,17
2744,67,26,2556,15
2745,67,25,2056,15
2746,67,27,1762,15
2747,68,25,2557,6
2748,68,26,2558,6
2749,68,27,2559,6
2750,69,25,2560,10
2751,69,27,2561,10
2752,69,26,2562,10
2753,70,25,2563,7
2754,70,26,2564,7
2755,70,27,2565,7
2756,71,27,2566,8
2757,71,25,2567,8
2758,71,26,2568,8
2759,72,27,2569,17
2760,72,25,2570,17
2761,72,26,2571,17
2762,73,25,2572,14
2763,73,26,2573,14
2764,73,27,2574,14
2765,74,27,2575,6
2766,74,26,2576,6
2767,74,25,2577,6
2768,75,26,1995,14
2769,75,25,2578,14
2770,75,27,2579,14
2771,76,26,2580,6
2772,76,25,2581,6
2773,76,27,2582,6
2774,77,25,2583,6
2775,77,26,2584,6
2776,77,27,2585,6
2777,78,25,2586,13
2778,78,27,2587,13
2779,78,26,2588,13
2780,79,25,2589,6
2781,79,27,2590,6
2782,79,26,2591,6
2783,80,26,2592,12
2784,80,27,2593,12
2785,80,25,2594,12
2786,81,27,2595,14
2787,81,25,2596,14
2788,81,26,2597,14
2789,82,26,2598,12
2790,82,27,2599,12
2791,82,25,2600,12
2792,83,27,2601,14
2793,83,26,2602,14
2794,83,25,2603,14
2795,84,26,2604,15
2796,84,25,2605,15
2797,84,27,2606,15
2798,85,26,2607,9
2799,85,25,2608,9
2800,85,27,2609,9
2801,86,27,2610,12
2802,86,25,2611,12
2803,86,26,2451,12
2804,87,27,2612,12
2805,87,26,1414,12
2806,87,25,1580,12
2807,88,25,2613,10
2808,88,26,2614,10
2809,88,27,2615,10
2810,89,26,2616,14
2811,89,27,2617,14
2812,89,25,2618,14
2813,90,27,2619,3
2814,90,26,2620,3
2815,90,25,2621,3
2816,91,25,1761,15
2817,91,26,2622,15
2818,91,27,2623,15
2819,92,26,2624,16
2820,92,27,2625,16
2821,92,25,2626,16
2822,119,25,2627,7
2823,119,26,2628,7
2824,119,27,2629,7
2825,93,27,2630,10
2826,93,26,2631,10
2827,93,25,2632,10
2828,94,25,2633,3
2829,94,27,2634,3
2830,94,26,2635,3
2831,95,25,2636,15
2832,95,27,2637,15
2833,95,26,2638,15
2834,96,25,2639,6
2835,96,27,2640,6
2836,96,26,1801,6
2837,97,27,2641,3
2838,97,25,2642,3
2839,97,26,2643,3
2840,98,27,2644,2
2841,98,26,2645,2
2842,98,25,2646,2
2843,99,27,2485,12
2844,99,25,2647,12
2845,99,26,2648,12
2846,100,27,2649,17
2847,100,25,2650,17
2848,100,26,2651,17
2849,101,25,2652,16
2850,101,27,2653,16
2851,101,26,2654,16
2852,102,26,2655,5
2853,102,27,2656,5
2854,102,25,2657,5
2855,1,28,2658,1
2856,1,29,2659,1
2857,1,30,2660,1
2858,118,29,1784,8
2859,118,28,2661,8
2860,118,30,2662,8
2861,2,28,2663,2
2862,2,29,2664,2
2863,2,30,2665,2
2864,3,30,1349,3
2865,3,28,2666,3
2866,3,29,2667,3
2867,4,29,2668,4
2868,4,28,2669,4
2869,4,30,2670,4
2870,5,28,2671,3
2871,5,30,2672,3
2872,5,29,2673,3
2873,6,30,2674,5
2874,6,28,2675,5
2875,6,29,2676,5
2876,7,30,1804,6
2877,7,29,1800,6
2878,7,28,2677,6
2879,8,28,1803,6
2880,8,29,1802,6
2881,8,30,2677,6
2882,9,30,2678,3
2883,9,29,2679,3
2884,9,28,2680,3
2885,10,30,2681,8
2886,10,28,2682,8
2887,10,29,2683,8
2888,11,29,2684,9
2889,11,30,2685,9
2890,11,28,2686,9
2891,12,30,2687,4
2892,12,29,2688,4
2893,12,28,2689,4
2894,104,28,2690,14
2895,104,30,2691,14
2896,104,29,2692,14
2897,13,30,2693,10
2898,13,28,2694,10
2899,13,29,2695,10
2900,14,28,2696,9
2901,14,29,2697,9
2902,14,30,2698,9
2903,15,29,2699,11
2904,15,30,2700,11
2905,15,28,2699,11
2906,16,29,2701,12
2907,16,28,2702,12
2908,16,30,2703,12
2909,17,28,1532,12
2910,17,29,2030,12
2911,17,30,2704,12
2912,18,28,2705,9
2913,18,30,2706,9
2914,18,29,2707,9
2915,19,29,2708,13
2916,19,30,2709,13
2917,19,28,2710,13
2918,20,30,2711,14
2919,20,29,2712,14
2920,20,28,2713,14
2921,105,30,2714,1
2922,105,28,2714,1
2923,105,29,2714,1
2924,21,28,2715,1
2925,21,30,2716,1
2926,21,29,2717,1
2927,22,29,2718,6
2928,22,30,1847,6
2929,22,28,2719,6
2930,23,29,2720,13
2931,23,28,2721,13
2932,23,30,2722,13
2933,24,30,2723,7
2934,24,29,2724,7
2935,24,28,2725,7
2936,26,28,2726,15
2937,26,30,2727,15
2938,26,29,2728,15
2939,27,29,2729,14
2940,27,30,2730,14
2941,27,28,2730,14
2942,28,29,2731,16
2943,28,30,2732,16
2944,28,28,2733,16
2945,29,28,1865,12
2946,29,29,2734,12
2947,29,30,2735,12
2948,30,29,2736,5
2949,30,30,2737,5
2950,30,28,2738,5
2951,31,28,2739,12
2952,31,29,1927,12
2953,31,30,2740,12
2954,32,28,2741,12
2955,32,29,2742,12
2956,32,30,1716,12
2957,33,28,2743,12
2958,33,30,2744,12
2959,33,29,2745,12
2960,34,29,2746,15
2961,34,28,2746,15
2962,34,30,2747,15
2963,35,30,2748,6
2964,35,28,2749,6
2965,35,29,2750,6
2966,36,30,2751,10
2967,36,28,2752,10
2968,36,29,2753,10
2969,37,29,2754,10
2970,37,30,1890,10
2971,37,28,1891,10
2972,38,29,2755,12
2973,38,28,2755,12
2974,38,30,2756,12
2975,39,28,2757,13
2976,39,29,2758,13
2977,39,30,2759,13
2978,40,28,2760,15
2979,40,29,2761,15
2980,40,30,2762,15
2981,41,29,2763,12
2982,41,30,2764,12
2983,41,28,2765,12
2984,42,30,2016,12
2985,42,28,2766,12
2986,42,29,2017,12
2987,43,29,2767,11
2988,43,30,2768,11
2989,43,28,2769,11
2990,44,29,2770,12
2991,44,30,2771,12
2992,44,28,2772,12
2993,45,28,2773,3
2994,45,29,2774,3
2995,45,30,2775,3
2996,46,28,2776,10
2997,46,30,2776,10
2998,46,29,2777,10
2999,47,28,2473,10
3000,47,29,2778,10
3001,47,30,2049,10
3002,48,28,2779,7
3003,48,30,2780,7
3004,48,29,2781,7
3005,49,29,1784,8
3006,49,30,2782,8
3007,49,28,2662,8
3008,50,28,1925,1
3009,50,30,1925,1
3010,50,29,1925,1
3011,51,28,2783,12
3012,51,29,2784,12
3013,51,30,2783,12
3014,109,30,2785,9
3015,109,28,2786,9
3016,109,29,2787,9
3017,52,29,2754,10
3018,52,28,2788,10
3019,52,30,2789,10
3020,53,29,2790,14
3021,53,30,2791,14
3022,53,28,2791,14
3023,54,29,2792,10
3024,54,28,2793,10
3025,54,30,2794,10
3026,55,29,2795,17
3027,55,28,2795,17
3028,55,30,1646,17
3029,56,30,2796,10
3030,56,28,2797,10
3031,56,29,2798,10
3032,57,29,2799,3
3033,57,28,2800,3
3034,57,30,2801,3
3035,58,28,2802,11
3036,58,30,2803,11
3037,58,29,2804,11
3038,59,29,2805,1
3039,59,30,2806,1
3040,59,28,2807,1
3041,60,30,2808,1
3042,60,29,2809,1
3043,60,28,2810,1
3044,61,28,2811,10
3045,61,29,2812,10
3046,61,30,2811,10
3047,62,29,2813,10
3048,62,28,2814,10
3049,62,30,2815,10
3050,63,29,2816,17
3051,63,28,2817,17
3052,63,30,2818,17
3053,64,29,2819,7
3054,64,28,2820,7
3055,64,30,2820,7
3056,65,28,2801,3
3057,65,30,2821,3
3058,65,29,1912,3
3059,66,30,2822,17
3060,66,29,2823,17
3061,66,28,2824,17
3062,110,28,2825,7
3063,110,30,2826,7
3064,110,29,2827,7
3065,67,29,2828,15
3066,67,28,2829,15
3067,67,30,2830,15
3068,68,28,2831,6
3069,68,29,2832,6
3070,68,30,2833,6
3071,69,29,1977,10
3072,69,30,1979,10
3073,69,28,2834,10
3074,70,28,2835,7
3075,70,29,1919,7
3076,70,30,1982,7
3077,112,28,1866,12
3078,112,29,2836,12
3079,112,30,2837,12
3080,71,30,2838,8
3081,71,28,2839,8
3082,71,29,2840,8
3083,72,28,2841,17
3084,72,30,2816,17
3085,72,29,2842,17
3086,73,28,2843,14
3087,73,29,2844,14
3088,73,30,2845,14
3089,74,30,2846,6
3090,74,29,2847,6
3091,74,28,2846,6
3092,75,29,2848,14
3093,75,28,2849,14
3094,75,30,2850,14
3095,76,29,2851,6
3096,76,28,1998,6
3097,76,30,2852,6
3098,77,28,2059,6
3099,77,29,2059,6
3100,77,30,2388,6
3101,113,29,2853,3
3102,113,30,2854,3
3103,113,28,2855,3
3104,78,28,2757,13
3105,78,30,2856,13
3106,78,29,2857,13
3107,79,28,1803,6
3108,79,30,1804,6
3109,79,29,2388,6
3110,80,30,1716,12
3111,80,28,2858,12
3112,80,29,2859,12
3113,81,30,2860,14
3114,81,28,2861,14
3115,81,29,2862,14
3116,82,29,2863,12
3117,82,28,2864,12
3118,82,30,2015,12
3119,83,30,2865,14
3120,83,29,2866,14
3121,83,28,2867,14
3122,84,29,2868,15
3123,84,28,2869,15
3124,84,30,2870,15
3125,85,29,2871,9
3126,85,28,2872,9
3127,85,30,2873,9
3128,86,30,2016,12
3129,86,28,2016,12
3130,86,29,2016,12
3131,87,30,1306,12
3132,87,29,2874,12
3133,87,28,2875,12
3134,88,28,2876,10
3135,88,29,2877,10
3136,88,30,2878,10
3137,89,29,2879,14
3138,89,30,2880,14
3139,89,28,2881,14
3140,90,30,2633,3
3141,90,29,2882,3
3142,90,28,2883,3
3143,91,28,2884,15
3144,91,29,2885,15
3145,91,30,2886,15
3146,92,29,2887,16
3147,92,30,2888,16
3148,92,28,2889,16
3149,115,28,2890,6
3150,115,29,2891,6
3151,115,30,1993,6
3152,119,28,2892,7
3153,119,29,1920,7
3154,119,30,1980,7
3155,93,30,2878,10
3156,93,29,2793,10
3157,93,28,2893,10
3158,116,29,2054,17
3159,116,30,2894,17
3160,116,28,2895,17
3161,94,30,2896,3
3162,94,28,2633,3
3163,94,29,2897,3
3164,95,28,2898,15
3165,95,30,2899,15
3166,95,29,2900,15
3167,96,30,2640,6
3168,96,28,2901,6
3169,96,29,2902,6
3170,97,30,2903,3
3171,97,28,2904,3
3172,97,29,1652,3
3173,98,30,2905,2
3174,98,29,2906,2
3175,98,28,2906,2
3176,99,30,2743,12
3177,99,28,2907,12
3178,99,29,2908,12
3179,100,30,2909,17
3180,100,28,2910,17
3181,100,29,2911,17
3182,101,28,2912,16
3183,101,30,2913,16
3184,101,29,2914,16
3185,102,29,2915,5
3186,102,30,2916,5
3187,102,28,2917,5
3188,1,31,2918,20
3189,1,31,2919,20
3190,1,31,2920,20
3191,1,32,2921,20
3192,1,32,2922,20
3193,1,32,2923,20
3194,1,33,2924,20
3195,1,33,2925,20
3196,1,33,2926,20
3197,118,31,2927,20
3198,118,31,2928,20
3199,118,31,2929,20
3200,118,31,2930,20
3201,118,31,2931,20
3202,118,33,2932,20
3203,118,33,2933,20
3204,118,33,2934,20
3205,118,33,2935,20
3206,118,33,2936,20
3207,118,32,2937,20
3208,118,32,2938,20
3209,118,32,2939,20
3210,118,32,2940,20
3211,118,32,2941,20
3212,2,32,2942,20
3213,2,32,2943,20
3214,2,32,2944,20
3215,2,32,2945,20
3216,2,32,2946,20
3217,2,33,2947,20
3218,2,33,2948,20
3219,2,33,2949,20
3220,2,33,2950,20
3221,2,33,2951,20
3222,2,31,2952,20
3223,2,31,2953,20
3224,2,31,2954,20
3225,2,31,2955,20
3226,2,31,2956,20
3227,120,33,2957,20
3228,120,32,2958,20
3229,120,31,2959,20
3230,3,31,2960,20
3231,3,31,2961,20
3232,3,32,2962,20
3233,3,32,2963,20
3234,3,33,2964,20
3235,3,33,2965,20
3236,121,31,2966,20
3237,121,31,2967,20
3238,121,32,2968,20
3239,121,32,2969,20
3240,121,33,2970,20
3241,121,33,2971,20
3242,4,33,2972,20
3243,4,33,2973,20
3244,4,33,2974,20
3245,4,33,2975,20
3246,4,33,2976,20
3247,4,33,2977,20
3248,4,33,2978,20
3249,4,33,2979,20
3250,4,33,2980,20
3251,4,33,2981,20
3252,4,33,2982,20
3253,4,33,2983,20
3254,4,33,2984,20
3255,4,32,2985,20
3256,4,32,2986,20
3257,4,32,2987,20
3258,4,32,2988,20
3259,4,32,2989,20
3260,4,32,2990,20
3261,4,32,2991,20
3262,4,32,2992,20
3263,4,32,2993,20
3264,4,32,2994,20
3265,4,32,2995,20
3266,4,32,2996,20
3267,4,32,2997,20
3268,4,31,2998,20
3269,4,31,2999,20
3270,4,31,3000,20
3271,4,31,3001,20
3272,4,31,3002,20
3273,4,31,3003,20
3274,4,31,3004,20
3275,4,31,3005,20
3276,4,31,3006,20
3277,4,31,3007,20
3278,4,31,3008,20
3279,4,31,3009,20
3280,4,31,3010,20
3281,5,31,3011,20
3282,5,31,3012,20
3283,5,31,3013,20
3284,5,31,3014,20
3285,5,33,3015,20
3286,5,33,3016,20
3287,5,33,3017,20
3288,5,33,3018,20
3289,5,32,3019,20
3290,5,32,3020,20
3291,5,32,3021,20
3292,5,32,3022,20
3293,122,31,3023,20
3294,122,31,3024,20
3295,122,31,3025,20
3296,122,32,3026,20
3297,122,32,3027,20
3298,122,32,3028,20
3299,122,33,3029,20
3300,122,33,3030,20
3301,122,33,3031,20
3302,103,31,3032,20
3303,103,31,3033,20
3304,103,31,3034,20
3305,103,31,3035,20
3306,103,31,3036,20
3307,103,31,3037,20
3308,103,31,3038,20
3309,103,31,3039,20
3310,103,31,3040,20
3311,103,31,3041,20
3312,103,31,3042,20
3313,103,32,3043,20
3314,103,32,3033,20
3315,103,32,3044,20
3316,103,32,3045,20
3317,103,32,3046,20
3318,103,32,3047,20
3319,103,32,3048,20
3320,103,32,3049,20
3321,103,32,3050,20
3322,103,32,3051,20
3323,103,32,3052,20
3324,103,33,3053,20
3325,103,33,3033,20
3326,103,33,3054,20
3327,103,33,3055,20
3328,103,33,3056,20
3329,103,33,3057,20
3330,103,33,3058,20
3331,103,33,3059,20
3332,103,33,3060,20
3333,103,33,3061,20
3334,103,33,3062,20
3335,123,33,3063,20
3336,123,33,3064,20
3337,123,33,3065,20
3338,123,33,3066,20
3339,123,33,3067,20
3340,123,33,3068,20
3341,123,33,3069,20
3342,123,32,3070,20
3343,123,32,3071,20
3344,123,32,3072,20
3345,123,32,3073,20
3346,123,32,3074,20
3347,123,32,3075,20
3348,123,32,3076,20
3349,123,31,3077,20
3350,123,31,3078,20
3351,123,31,3079,20
3352,123,31,3080,20
3353,123,31,3081,20
3354,123,31,3082,20
3355,123,31,3083,20
3356,6,31,3084,20
3357,6,31,3085,20
3358,6,31,3086,20
3359,6,31,3087,20
3360,6,31,3088,20
3361,6,31,3089,20
3362,6,31,3090,20
3363,6,31,3091,20
3364,6,31,3092,20
3365,6,31,3093,20
3366,6,31,3094,20
3367,6,31,3095,20
3368,6,33,3096,20
3369,6,33,3097,20
3370,6,33,3098,20
3371,6,33,3099,20
3372,6,33,3100,20
3373,6,33,3101,20
3374,6,33,3102,20
3375,6,33,3103,20
3376,6,33,3104,20
3377,6,33,3105,20
3378,6,33,3106,20
3379,6,33,3107,20
3380,6,32,3108,20
3381,6,32,3109,20
3382,6,32,3110,20
3383,6,32,3111,20
3384,6,32,3112,20
3385,6,32,3113,20
3386,6,32,3114,20
3387,6,32,3115,20
3388,6,32,3116,20
3389,6,32,3117,20
3390,6,32,3118,20
3391,6,32,3119,20
3392,7,31,3120,20
3393,7,31,3121,20
3394,7,31,3121,20
3395,7,31,3121,20
3396,7,31,3121,20
3397,7,33,3122,20
3398,7,33,3123,20
3399,7,33,3123,20
3400,7,33,3123,20
3401,7,33,3123,20
3402,7,32,3124,20
3403,7,32,3121,20
3404,7,32,3121,20
3405,7,32,3121,20
3406,7,32,3121,20
3407,8,32,3125,20
3408,8,32,3126,20
3409,8,32,3127,20
3410,8,32,3128,20
3411,8,33,3129,20
3412,8,33,3130,20
3413,8,33,3131,20
3414,8,33,3132,20
3415,8,31,3133,20
3416,8,31,3134,20
3417,8,31,3135,20
3418,8,31,3136,20
3419,9,32,3137,20
3420,9,33,3138,20
3421,9,31,3139,20
3422,10,32,3140,20
3423,10,32,3141,20
3424,10,32,3142,20
3425,10,32,3143,20
3426,10,32,3144,20
3427,10,32,3145,20
3428,10,31,3146,20
3429,10,31,3147,20
3430,10,31,3148,20
3431,10,31,3149,20
3432,10,31,3150,20
3433,10,31,3151,20
3434,10,33,3152,20
3435,10,33,3153,20
3436,10,33,3154,20
3437,10,33,3155,20
3438,10,33,3156,20
3439,10,33,3157,20
3440,11,31,3158,20
3441,11,31,3159,20
3442,11,31,3160,20
3443,11,33,3161,20
3444,11,33,3162,20
3445,11,33,3163,20
3446,11,32,3164,20
3447,11,32,3165,20
3448,11,32,3166,20
3449,124,32,3167,20
3450,124,32,3168,20
3451,124,32,3169,20
3452,124,32,3170,20
3453,124,32,3171,20
3454,124,32,3172,20
3455,124,32,3173,20
3456,124,32,3174,20
3457,124,32,3175,20
3458,124,33,3176,20
3459,124,33,3177,20
3460,124,33,3178,20
3461,124,33,3179,20
3462,124,33,3180,20
3463,124,33,3181,20
3464,124,33,3182,20
3465,124,33,3183,20
3466,124,33,3184,20
3467,124,31,3185,20
3468,124,31,3186,20
3469,124,31,3187,20
3470,124,31,3188,20
3471,124,31,3189,20
3472,124,31,3190,20
3473,124,31,3191,20
3474,124,31,3192,20
3475,124,31,3193,20
3476,12,33,3194,20
3477,12,33,3195,20
3478,12,33,3196,20
3479,12,33,3197,20
3480,12,32,3198,20
3481,12,32,3199,20
3482,12,32,3200,20
3483,12,32,3201,20
3484,12,31,3202,20
3485,12,31,3203,20
3486,12,31,3204,20
3487,12,31,3205,20
3488,104,32,3206,20
3489,104,32,3207,20
3490,104,32,3208,20
3491,104,32,3209,20
3492,104,33,3210,20
3493,104,33,3211,20
3494,104,33,3212,20
3495,104,33,3213,20
3496,104,31,3214,20
3497,104,31,3215,20
3498,104,31,3216,20
3499,104,31,3217,20
3500,13,31,3218,20
3501,13,31,3219,20
3502,13,31,3220,20
3503,13,31,3221,20
3504,13,31,3222,20
3505,13,31,3223,20
3506,13,31,3224,20
3507,13,31,3225,20
3508,13,31,3226,20
3509,13,31,3227,20
3510,13,31,3228,20
3511,13,31,3229,20
3512,13,31,3230,20
3513,13,31,3231,20
3514,13,31,3232,20
3515,13,31,3233,20
3516,13,32,3234,20
3517,13,32,3235,20
3518,13,32,3236,20
3519,13,32,3237,20
3520,13,32,3238,20
3521,13,32,3239,20
3522,13,32,3240,20
3523,13,32,3241,20
3524,13,32,3242,20
3525,13,32,3243,20
3526,13,32,3244,20
3527,13,32,3245,20
3528,13,32,3246,20
3529,13,32,3247,20
3530,13,32,3248,20
3531,13,32,3249,20
3532,13,33,3250,20
3533,13,33,3251,20
3534,13,33,3252,20
3535,13,33,3253,20
3536,13,33,3254,20
3537,13,33,3255,20
3538,13,33,3256,20
3539,13,33,3257,20
3540,13,33,3258,20
3541,13,33,3259,20
3542,13,33,3260,20
3543,13,33,3261,20
3544,13,33,3262,20
3545,13,33,3263,20
3546,13,33,3264,20
3547,13,33,3265,20
3548,125,31,3266,20
3549,125,31,3267,20
3550,125,31,3268,20
3551,125,31,3269,20
3552,125,31,3270,20
3553,125,33,3271,20
3554,125,33,3272,20
3555,125,33,3273,20
3556,125,33,3274,20
3557,125,33,3275,20
3558,125,32,3276,20
3559,125,32,3277,20
3560,125,32,3278,20
3561,125,32,3279,20
3562,125,32,3280,20
3563,126,33,3281,20
3564,126,33,3282,20
3565,126,32,3283,20
3566,126,32,3284,20
3567,126,31,3285,20
3568,126,31,3286,20
3569,14,32,3287,20
3570,14,32,3288,20
3571,14,32,3289,20
3572,14,32,3290,20
3573,14,32,3291,20
3574,14,32,3292,20
3575,14,32,3293,20
3576,14,32,3294,20
3577,14,32,3295,20
3578,14,31,3296,20
3579,14,31,3297,20
3580,14,31,3298,20
3581,14,31,3299,20
3582,14,31,3300,20
3583,14,31,3301,20
3584,14,31,3302,20
3585,14,31,3303,20
3586,14,31,3304,20
3587,14,33,3305,20
3588,14,33,3306,20
3589,14,33,3307,20
3590,14,33,3308,20
3591,14,33,3309,20
3592,14,33,3310,20
3593,14,33,3311,20
3594,14,33,3312,20
3595,14,33,3313,20
3596,15,32,3314,20
3597,15,32,3315,20
3598,15,32,3316,20
3599,15,32,3317,20
3600,15,32,3318,20
3601,15,32,3319,20
3602,15,31,3320,20
3603,15,31,3321,20
3604,15,31,3322,20
3605,15,31,3323,20
3606,15,31,3324,20
3607,15,31,3325,20
3608,15,33,3326,20
3609,15,33,3327,20
3610,15,33,3328,20
3611,15,33,3329,20
3612,15,33,3330,20
3613,15,33,3331,20
3614,127,33,3332,20
3615,127,33,3333,20
3616,127,33,3334,20
3617,127,33,3335,20
3618,127,32,3336,20
3619,127,32,3337,20
3620,127,32,3338,20
3621,127,32,3339,20
3622,127,31,3340,20
3623,127,31,3341,20
3624,127,31,3342,20
3625,127,31,3343,20
3626,16,33,3344,20
3627,16,33,3345,20
3628,16,33,3346,20
3629,16,33,3347,20
3630,16,33,3348,20
3631,16,33,3349,20
3632,16,31,3350,20
3633,16,31,3351,20
3634,16,31,3352,20
3635,16,31,3353,20
3636,16,31,3354,20
3637,16,31,3355,20
3638,16,32,3356,20
3639,16,32,3357,20
3640,16,32,3358,20
3641,16,32,3359,20
3642,16,32,3360,20
3643,16,32,3361,20
3644,17,33,3362,20
3645,17,33,3363,20
3646,17,33,3364,20
3647,17,33,3365,20
3648,17,33,3366,20
3649,17,31,3367,20
3650,17,31,3368,20
3651,17,31,3369,20
3652,17,31,3370,20
3653,17,31,3371,20
3654,17,32,3372,20
3655,17,32,3373,20
3656,17,32,3374,20
3657,17,32,3375,20
3658,17,32,3376,20
3659,128,32,3377,20
3660,128,31,3378,20
3661,128,33,3379,20
3662,18,33,3380,20
3663,18,33,3381,20
3664,18,33,3382,20
